course,institution,url,admission req,language req,deadline
a.r.t.e.s. Graduate School for the Humanities Cologne,University of Cologne,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4100/,Applicants must hold an above-average university degree (MA or equivalent) in a discipline that is available as doctoral subject at the University of Cologne's Faculty of Arts and Humanities.,"International doctoral students who wish to write their dissertations in German can join the programme immediately and improve their German during their studies. 
International doctoral students will have to provide proof of German at the level C1 (Common European Framework of Reference for Languages) by the time they submit their doctoral dissertations in the event that they write the dissertation in German.
International doctoral students who wish to write the dissertation in English or in another language will have to provide proof of German at the level B2 by the time they submit their doctoral dissertations. 
A full remission of the German language proficiency is possible upon special request.","All applicants for the structured doctoral programme must apply by the end of October for the following summer semester. The exact date is announced on our website.
For further information on our application procedure, please see http://www.artes.uni-koeln.de."
Abbe School of Photonics – PhD/Doctoral Programme,Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4341/,"Applicants must have obtained or be about to obtain a Master's degree or equivalent qualification in physics, optics, engineering, or a related field.","We request a decent level of English language capabilities, as English is common in the international science community. Test certificates like Cambridge, IELTS or TOEFL are appreciated.
Knowledge of the German language is NOT a necessary prerequisite to be enrolled in our programme.",Check for current openings on our website www.asp.uni-jena.de/open_positions and apply within the stated deadlines. We also accept unsolicited applications at any time. 
Albrecht Mendelssohn Bartholdy Graduate School of Law,Universität Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4764/,"An outstanding degree in law or a non-legal research-orientated Master's degree is required (in particular in business administration, political science, or sociology). A complete application comprises all required documents, such as
the completed online application form
	tabular curriculum vitae (optional: index of all publications)
	research proposal (up to four pages)
	personal statement about why you are applying to the Albrecht Mendelssohn Bartholdy Graduate School
	two recommendation letters from professors attesting your suitability for doctoral work
	diploma and transcript of records

Please also check our website: https://www.jura.uni-hamburg.de/en/forschung/ambsl/bewerbung.html","Language certificates (German or English): Non-native speakers who write their dissertations in German or English must prove their language skills by submitting relevant certificates.
German: TestDaF or DSH (proving level C1)
English: certificate proving C1 Level of the Common European Framework of Reference for Languages (CEFR). This requires test scores of at least 100 in the TOEFL iBT / 7 in the IELTS / 945 in TOEIC. The TOEFL DI Code is 2258.",All applicants: 15 February for the following winter semester
Bamberg Graduate School of Social Sciences (BAGSS),University of Bamberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7097/,N/A,N/A,N/A
"Bayreuth Graduate Centre for Cultural Studies, Social Sciences, and Humanities (BayKULT)",University of Bayreuth,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9125/,N/A,N/A,N/A
Bayreuth International Graduate School of African Studies (BIGSAS),University of Bayreuth,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4045/,"BIGSAS invites applications from candidates whose dissertation projects fit into the broad field of African Studies. Applicants must have a Master's or an equivalent degree in one of the disciplines represented at the graduate school with a very good result. Applications may be sent in English, German, or French. The working language of BIGSAS is English.
For more information about our application requirements and process please, visit our application website.",Applicants need to have excellent skills in English.,"There is no application deadline for your application at BIGSAS. Applicants can apply to the graduate school during the course of the whole year.
For more information about our application requirements and process, please visit our application website."
Berlin Graduate School for Global and Transregional Studies (BGTS),Freie Universität Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4109/,"Anyone who has completed a Master’s degree in social sciences, area studies and history as well as economics and law (usually comprising a total of 300 European Credit Transfer System [ECTS] credits including the Bachelor’s degree) is eligible to apply. The term “social sciences” refers to political science and sociology. The programme is open to applicants of all nationalities and shows no preference to EU citizens.
Your final grade point average should be at least 2.4 (according to the German grade system), in other words, “good”. In ECTS terms this corresponds to a “B” average, starting at 79%. As grading systems vary from country to country, grade point average is only one factor among many upon which selection is based.
If you haven’t completed your Master’s degree programme at the time of application, you may still apply, but you must provide official documentation (e.g. academic transcript and official diploma) of your successful completion of a Master’s degree before enrolling in the PhD programme.
If your official diploma is not ready at the time of your application, you are required to send some proof of your academic performance (e.g. a current transcript) instead. After this, please send us a letter from your university as soon as you have completed your Master’s degree, confirming the completion of your studies. This letter will allow you to provisionally enrol at BGTS while awaiting your official degree diploma.","The expected level of English proficiency is C1 (or better) of the Common European Framework of Reference for Languages, which translates into other tests as follows (scores indicated are minimums):
IELTS: 8.0
	TOEFL PBT: 603/677
	TOEFL CBT: 263/300
	TOEFL iBT: 110/120
	TOEIC: 785

If you are not a native English speaker or if the language of instruction at your previous university was not English, we will ask you to provide evidence of strong English language skills. Please include English language test results in your application if this applies to you. English language tests should not be more than two years old at the time of your application to the BGTS and should be uploaded in your online application form as a PDF or JPEG document.
The PhD programme at the BGTS does not require German language skills. However, we recommend that you study German during your time with us. This will help you in your daily life in Berlin, including communicating with others at the university. German language courses for international doctoral candidates are offered by the Dahlem Research School at Freie Universität Berlin.","Usually 31 January for the following winter semester (September)
(Please check the website regularly for updates.)"
Berlin International Graduate School of Natural Sciences and Engineering (BIG-NSE),Technische Universität Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3974/,Suitable Master's degree qualifying for a PhD in one of the research areas of the UniSysCat Cluster (www.unisyscat.de/research-units.html),"Applicants must provide proof of excellent English skills: TOEFL 550 (paper-based), 213 (computer-based), 79 (Internet-based) or equivalent.",The application deadline has not yet been determined. Please check our website (www.ec2-big-nse.de).
Berlin Mathematical School – PhD Programme,Technische Universität Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4007/,"Bachelor's degree (or equivalent) in mathematics (or equivalent) for Phase I, Master's degree (or equivalent) in mathematics (or equivalent) for Phase II
Application information
First, download our BMS PhD application guidelines and read them thoroughly before beginning the online application process.","German language proficiency is not required.
Applicants must provide proof of their English skills with one of the following certificates:
TOEFL minimum of 550 (paper-based test), 213 (computer-based), 79 (Internet-based)
	IELTS minimum of 6.5
	CPE minimum level C
	CAE minimum level C

https://www.math-berlin.de/application/faqs/standard-tests","The first-round application deadline of 1 December 2025 is for
Phase I applicants requiring admission with a scholarship and
	Phase II applicants who want to start in April, May, June or July 2026.

The second-round application deadline of 1 April 2026 is for
Phase I applicants requiring admission only and
	Phase II applicants who want to start in August, September or October 2026.
"
Berlin School of Economics PhD Programme,Humboldt-Universität zu Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6973/,"The Berlin School of Economics welcomes highly qualified post-graduate students from around the world to enrol in its structured PhD programme.
Applicants should have a Master’s degree in Economics or Business Studies and have performed exceptionally well in their studies. Applicants from related fields (such as Industrial Engineering, Statistics, or quantitative social sciences) may also fulfil the admission requirements if they have a sufficient background in Economics or Business Studies.
All applicants may provide GRE General Test scores with their application. The GRE General Test at Home scores are also accepted. Providing GRE General Test scores is highly recommended but not mandatory. In addition, please note that the minimum scores for the GRE General Test (for admittance to the programme) vary based on the score levels of all applicants in the given year. Therefore, we do not specify a minimum score that must be achieved.
Applicants with a Bachelor’s degree are eligible to apply for the programme if they also apply for a Master’s programme in Berlin that offers a fast track option.","Applicants whose native language is not English are asked to demonstrate their English language proficiency, unless they hold a degree from a university in an English-speaking country or can document at least one year of studies at an English-speaking university. Sufficient evidence of a good command of English can be demonstrated by a high score in the Test of English as a Foreign Language (TOEFL) or the International English Language Testing System (IELTS). Providing TOEFL or IELTS scores is highly recommended but not mandatory. Minimum scores that have to be achieved are not specified.
German language proficiency is not required.","Middle of January for the following winter semester starting on 1 October
Please check our website for updates."
Bielefeld Graduate School in History and Sociology (BGHS),Bielefeld University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3962/,"To join the Bielefeld Graduate School in History and Sociology, you must be accepted into the doctoral programme either in history or in sociology. Decisions on admission are made in the doctoral degree committees of the respective faculties. Applications are to be made online through the BGHS website.
Applicants should have an above-average degree in social sciences or the humanities, preferably in history, sociology, anthropology, or political science. Applications from graduates of other related fields are welcome.","The BGHS doctoral programme consists of courses in both German and English. Applicants to the graduate school must therefore have a good command of either German or English. Doctoral researchers with no knowledge of German are encouraged to learn the language as it is the primary means of communication at Bielefeld University, and fluency in German makes daily life easier.","15 June for the winter semester
15 January for the summer semester"
Bielefeld Graduate School in Theoretical Sciences,Bielefeld University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8266/,Please consult the web pages of the participating structured research programmes for specific information about admission requirements: https://www.uni-bielefeld.de/einrichtungen/bgts/graduate-education/participating-program/,Please consult the web pages of the participating structured research programmes for specific information about language requirements: https://www.uni-bielefeld.de/einrichtungen/bgts/graduate-education/participating-program/,Please consult the respective websites for current information on open positions: PhD Positions - Bielefeld University (uni-bielefeld.de)
Bonn International Graduate School Clinical and Population Science,University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9633/,N/A,N/A,N/A
Bonn International Graduate School for Development Research (BIGS-DR),University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5345/,"An excellent Master's or equivalent degree: GPA higher than 3.0 in the American system or a grade higher than 2.0 in the German system or equivalent
	Relevant work experience (min. two years)
	An excellent and innovative research concept
	Certified proficiency in English
	The last MA degree should have been obtained less than six years ago.
","IELTS certificate (band 6)
	TOEFL (550 paper-based, 213 computer-based, 80 Internet-based)
	University waiver that indicates the language of instruction was in English
","The deadline for the DAAD EPOS scholarship via BIGS-DR is 31 August for the following academic year.
For applicants with secured funding, the deadline is 1 May for a start in October of the same year."
Bonn International Graduate School of Chemistry,University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10489/,Admission will be granted after application and approval by the Faculty of Mathematics and Natural Sciences.,English language skills at the level of B2 for foreign applicants,"Universität Bonn
BIGSChem
c/o Ulrike Blank
Gerhard-Domagk-Str. 1
53121 Bonn
Germany"
Bonn International Graduate School of Drug Sciences (BIGS DrugS),University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8348/,"We encourage outstanding applicants with a university degree (Master's, ""Diplom"" or state exam) in life sciences, medical sciences, pharmacy or related fields to apply for admission to the BIGS DrugS PhD programme.",English,You can apply for our programme at any time.
Bonn International Graduate School of Mathematics (BIGS-M),University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3920/,"Academic admission requirements include a Master of Science with a thesis. In exceptional cases, an outstanding Bachelor's degree may be accepted. In the case of the Master of Science without a thesis, there may be an option to write a thesis with the supervisor in Bonn.","The applicant must submit evidence of proficiency in English. This can take the form of a test (TOEFL, IELTS or similar), a note showing previous instruction in English or the record of English courses taken. The applicant's ability to speak English should be on the level of the TOEFL with results of 550 points (written test) or 80 points (Internet-based test).
The language of instruction is English. The dissertation and exams can be written in English. Members of BIGS are expected to learn some German.","15 November for the summer semester
15 April for the winter semester"
Bonn International Graduate School of Oriental and Asian Studies (BIGS-OAS),University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7701/,Master's degree relevant to the discipline or equivalent degree,Proof of proficiency in German or English is required. (This requirement is waived for applicants who are native speakers of German or/and English or for applicants who have graduated from an German/English-speaking university.),Applications have to be submitted before 1 July.
Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Astrophysics/Astronomy,University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3708/,"Academic admission requirements include a German ""Diplom"" or Master of Science in physics/astronomy with thesis. Depending on the academic qualification, a qualifying period of up to one year may be required.",Not required for the PhD programme,"No deadlines
For details, see: https://www.gradschool.physics.uni-bonn.de/applying/applying-for-phd-in-bonn-or-cologne"
Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics,University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3886/,"Academic admission requirements include a German ""Diplom"" or Master of Science in physics, or a five-year Bachelor of Science in physics. Depending on the academic qualification, a qualifying period of up to one year may be required.",Not required for the PhD programme,"No deadlines
For details, see here: https://www.gradschool.physics.uni-bonn.de/applying/applying-for-phd-in-bonn-or-cologne"
Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics (Cologne),University of Cologne,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4004/,"Master of Science in physics (or equivalent) with a Bachelor's degree or equivalent in physics, you also can join the BCGS for a Master's course of study, and subsequently for a PhD programme.","TOEFL 80 points Internet-based or equivalent, e.g., IELTS (score 6.5)",No deadlines
Chemistry (PhD),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4782/,"Master's degree in Chemistry or a related field, acceptance by a supervisor according to the list of authorised examiners (http://www.uni-goettingen.de/en/admission-to-the-gauss-doctoral-studies-in-chemistry/134857.html)","Applicants must provide proof of their German OR English skills.
Proof of German language skills: DSH-2 or TestDaF 4x4
Proof of English language skills: C1 or equivalent, see regulations on our website for details",No fixed application deadlines
CiM-IMPRS PhD Programme in Life and Natural Sciences,University of Münster,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4028/,"Master's degree or equivalent (e.g., German ""Diplom""), in life sciences (e.g., biology, biochemistry, biotechnology), physics, chemistry, mathematics or a related field
(If in doubt, please enquire.)",No English language test is required. Language skills will be evaluated during personal interviews with selected candidates.,"March/April, see: http://www.cim-imprs.de"
